datetime	high	low	open
2025-10-16 04:00:00	182.2400	181.5000	181.9000
2025-10-16 05:00:00	182.0700	181.6000	181.7200
2025-10-16 06:00:00	182.3700	181.9600	182.0300
2025-10-16 07:00:00	182.2300	181.8500	182.0400
2025-10-16 08:00:00	182.6800	179.8300	182.1700
2025-10-16 09:00:00	185.3500	179.6250	182.4800
2025-10-16 10:00:00	183.2800	181.4793	181.7000
2025-10-16 11:00:00	183.0700	181.5460	182.4800
2025-10-16 12:00:00	182.1800	179.7700	181.8900
2025-10-16 13:00:00	182.5200	180.6500	181.4800
2025-10-16 14:00:00	182.1899	179.8200	182.1100
2025-10-16 15:00:00	182.4900	180.2600	181.4650
2025-10-16 16:00:00	182.0000	169.7293	181.8200
2025-10-16 17:00:00	182.5667	168.3968	181.4100
2025-10-16 18:00:00	181.8600	180.9000	181.2500
2025-10-16 19:00:00	181.1500	180.5100	180.9500
2025-10-17 04:00:00	179.8100	176.2100	177.5800
2025-10-17 05:00:00	177.9200	176.9900	177.1000
2025-10-17 06:00:00	178.4000	177.2500	177.2500
2025-10-17 07:00:00	179.9800	178.0600	178.3800
2025-10-17 08:00:00	181.8100	176.2060	178.2800
2025-10-17 09:00:00	182.4200	179.5300	179.9200
2025-10-17 10:00:00	183.5300	181.0700	181.7900
2025-10-17 11:00:00	182.3200	180.0200	181.2400
2025-10-17 12:00:00	182.9700	182.0550	182.0650
2025-10-17 13:00:00	183.0100	181.9300	182.4400
2025-10-17 14:00:00	183.8650	182.7800	182.8500
2025-10-17 15:00:00	184.1000	182.8400	183.4800
2025-10-17 16:00:00	192.8472	175.3419	183.2400
2025-10-17 17:00:00	192.8472	171.9518	183.2596
2025-10-17 18:00:00	183.2200	183.0300	183.1600
2025-10-17 19:00:00	183.3900	183.0100	183.0900
2025-10-20 04:00:00	185.0000	183.5400	184.3000
2025-10-20 05:00:00	184.0500	182.9700	183.6100
2025-10-20 06:00:00	184.2600	183.1600	183.7200
2025-10-20 07:00:00	183.8200	182.5600	183.2600
2025-10-20 08:00:00	184.9500	182.5600	184.1600
2025-10-20 09:00:00	183.3900	181.7300	182.8100
2025-10-20 10:00:00	185.2000	182.3000	182.9470
2025-10-20 11:00:00	184.0300	183.0300	183.9050
2025-10-20 12:00:00	184.1300	183.2800	183.6350
2025-10-20 13:00:00	184.2600	183.5000	184.0700
2025-10-20 14:00:00	183.7950	183.3900	183.5600
2025-10-20 15:00:00	183.5150	182.0500	183.4440
2025-10-20 16:00:00	182.9700	172.1960	182.5700
2025-10-20 17:00:00	182.9900	110.9300	182.8900
2025-10-20 18:00:00	182.9900	170.9384	182.9800
2025-10-20 19:00:00	186.3965	175.5773	182.8900
2025-10-21 04:00:00	182.9500	182.1300	182.4500
2025-10-21 05:00:00	182.5400	182.0000	182.2900
2025-10-21 06:00:00	182.5300	182.2100	182.2600
